created_at,current_version_id,homepage,id,identifier,is_official,message_count,name,owner_id,updated_at,status,visibility,comment_count,install_count,is_featured,rating_average,rating_count
2024-02-21T00:00:00.000Z,60,https://github.com/richards199999,60,causal,true,0,Your daily AI companion.,1,2025-07-20T03:10:01.329Z,published,public,0,0,false,0,0
2024-09-23T00:00:00.000Z,61,https://github.com/leter,61,ceo-gpt,true,0,CEO GPT,1,2025-07-20T03:10:01.330Z,published,public,0,0,false,0,0
2024-01-15T00:00:00.000Z,62,https://github.com/HerIsDia,62,chad,true,0,Chad,1,2025-07-20T03:10:01.330Z,published,public,0,0,false,0,0
2023-09-07T00:00:00.000Z,63,https://github.com/canisminor1990,63,character-roleplay,true,0,Character Roleplay,1,2025-07-20T03:10:01.330Z,published,public,0,0,false,0,0
2025-01-24T00:00:00.000Z,64,https://github.com/davletsh1n,64,cheaper-reasoning,true,0,Reasoning assistant,1,2025-07-20T03:10:01.330Z,published,public,0,0,false,0,0
2024-01-26T00:00:00.000Z,65,https://github.com/MYSeaIT,65,chef,true,0,Culinary AI Mentor,1,2025-07-20T03:10:01.330Z,published,public,0,0,false,0,0
2024-05-22T00:00:00.000Z,66,https://github.com/epochaudio,66,chinese-historian,true,0,中国历史学者,1,2025-07-20T03:10:01.330Z,published,public,0,0,false,0,0
2024-04-15T00:00:00.000Z,67,https://github.com/y22emc2,67,chinese-paper-polishing,true,0,中文论文编辑师,1,2025-07-20T03:10:01.330Z,published,public,0,0,false,0,0
2024-05-24T00:00:00.000Z,68,https://github.com/S45618,68,chinese-touch-ups,true,0,中文润色大师,1,2025-07-20T03:10:01.330Z,published,public,0,0,false,0,0
2024-09-23T00:00:00.000Z,69,https://github.com/ChaneyChokin,69,chinese-translator,true,0,中文翻译员,1,2025-07-20T03:10:01.330Z,published,public,0,0,false,0,0
2024-07-02T00:00:00.000Z,70,https://github.com/bakamake,70,circuit-black-cli,true,0,电路图输出器,1,2025-07-20T03:10:01.330Z,published,public,0,0,false,0,0
2024-03-22T00:00:00.000Z,71,https://github.com/GalileoFe,71,claude-national-medical-master,true,0,老中医,1,2025-07-20T03:10:01.330Z,published,public,0,0,false,0,0
2024-02-08T00:00:00.000Z,72,https://github.com/bentwnghk,72,cloze-exercise-generator,true,0,Cloze Exercise Generator,1,2025-07-20T03:10:01.330Z,published,public,0,0,false,0,0
2023-11-16T00:00:00.000Z,73,https://github.com/tcmonster,73,co-agent,true,0,专家代理人导师,1,2025-07-20T03:10:01.330Z,published,public,0,0,false,0,0
2024-03-31T00:00:00.000Z,74,https://github.com/HenryWu9998,74,code-anything-noproblem,true,0,CAN,1,2025-07-20T03:10:01.330Z,published,public,0,0,false,0,0
2024-01-18T00:00:00.000Z,75,https://github.com/110rever,75,code-companion,true,0,Code Companion,1,2025-07-20T03:10:01.331Z,published,public,0,0,false,0,0
2024-10-08T00:00:00.000Z,76,https://github.com/alphandbelt,76,code-review-and-fix,true,0,代码优化/错误修改,1,2025-07-20T03:10:01.331Z,published,public,0,0,false,0,0
2024-07-29T00:00:00.000Z,77,https://github.com/leter,77,code-snark-master,true,0,代码毒舌大师,1,2025-07-20T03:10:01.331Z,published,public,0,0,false,0,0
2025-02-08T00:00:00.000Z,78,https://github.com/He-Xun,78,coder-assistant,true,0,编程开发助手,1,2025-07-20T03:10:01.331Z,published,public,0,0,false,0,0
2024-01-28T00:00:00.000Z,79,https://github.com/MYSeaIT,79,coder,true,0,Software Development Step Maker,1,2025-07-20T03:10:01.331Z,published,public,0,0,false,0,0
2023-09-07T00:00:00.000Z,80,https://github.com/canisminor1990,80,coding-wizard,true,0,Coding Wizard,1,2025-07-20T03:10:01.331Z,published,public,0,0,false,0,0
2024-08-12T00:00:00.000Z,81,https://github.com/cyicz123,81,commit-assistant,true,0,提交信息生成器,1,2025-07-20T03:10:01.331Z,published,public,0,0,false,0,0
2023-12-14T00:00:00.000Z,82,https://github.com/MakeTooRRSS,82,community-manager,true,0,Community Manager,1,2025-07-20T03:10:01.331Z,published,public,0,0,false,0,0
2023-09-10T00:00:00.000Z,83,https://github.com/arvinxx,83,conceptual-abstractor,true,0,抽象概念实体化表达大师,1,2025-07-20T03:10:01.331Z,published,public,0,0,false,0,0
2024-05-22T00:00:00.000Z,84,https://github.com/epochaudio,84,confucian-sage,true,0,儒家学者,1,2025-07-20T03:10:01.331Z,published,public,0,0,false,0,0
2023-12-16T00:00:00.000Z,85,https://github.com/almaziphone,85,congratulations-with-smileys,true,0,Поздравление,1,2025-07-20T03:10:01.331Z,published,public,0,0,false,0,0
2023-09-10T00:00:00.000Z,86,https://github.com/arvinxx,86,content-searcher,true,0,信息整理大师,1,2025-07-20T03:10:01.331Z,published,public,0,0,false,0,0
2024-02-14T00:00:00.000Z,87,https://github.com/pllz7,87,copywriting,true,0,Product Copywriting,1,2025-07-20T03:10:01.331Z,published,public,0,0,false,0,0
2024-09-23T00:00:00.000Z,88,https://github.com/WuKaiYi,88,costar-framework-bot,true,0,COSTAR 框架撰写员,1,2025-07-20T03:10:01.331Z,published,public,0,0,false,0,0
2024-11-29T00:00:00.000Z,89,https://github.com/HNaga,89,course-prep-teaching-guide-ai,true,0,AI Assistant for Course Content and Teaching Guidelines,1,2025-07-20T03:10:01.331Z,published,public,0,0,false,0,0
2024-09-23T00:00:00.000Z,90,https://github.com/jskherman,90,creator-simulator,true,0,World Creator Simulator,1,2025-07-20T03:10:01.331Z,published,public,0,0,false,0,0
2025-02-17T00:00:00.000Z,91,https://github.com/edgesider,91,crontab-generate,true,0,Cron 表达式助手,1,2025-07-20T03:10:01.333Z,published,public,0,0,false,0,0
2024-01-10T00:00:00.000Z,92,https://github.com/McKinleyLu,92,cs-research-paper,true,0,计算机科学论文润色,1,2025-07-20T03:10:01.333Z,published,public,0,0,false,0,0
2024-10-29T00:00:00.000Z,93,https://github.com/5xiao0qing5,93,cv-latex,true,0,机器视觉latex,1,2025-07-20T03:10:01.333Z,published,public,0,0,false,0,0
